ventana,fold,mejor_auc_grid_interno,class_weight,max_depth,max_features,min_samples_leaf,n_estimators,bagging_temperature,depth,iterations,l2_leaf_reg,learning_rate
v4_6_24_rf,1,0.6944341775270962,balanced_subsample,,0.5,2.0,300.0,,,,,
v4_6_24_rf,2,0.696992983166492,balanced,,sqrt,1.0,400.0,,,,,
v4_6_24_rf,3,0.7084669233023799,balanced_subsample,,sqrt,5.0,500.0,,,,,
v4_6_24_rf,4,0.7146189184464768,balanced_subsample,20.0,sqrt,5.0,400.0,,,,,
v4_6_24_rf,5,0.697915015930383,balanced_subsample,20.0,sqrt,5.0,300.0,,,,,
v4p_3_12_catboost,1,0.6576993337602826,,,,,,0.0,5.0,500.0,5.0,0.01
v4p_3_12_catboost,2,0.6616357568409034,,,,,,0.0,5.0,500.0,5.0,0.01
v4p_3_12_catboost,3,0.6717587493449563,,,,,,0.0,6.0,500.0,1.0,0.01
v4p_3_12_catboost,4,0.6942919796172579,,,,,,0.0,6.0,500.0,1.0,0.01
v4p_3_12_catboost,5,0.6724039796583714,,,,,,0.0,4.0,500.0,15.0,0.01
v4l_12_48_catboost,1,0.6519043343071355,,,,,,0.0,6.0,500.0,5.0,0.01
v4l_12_48_catboost,2,0.6969721218264183,,,,,,0.0,6.0,500.0,5.0,0.01
v4l_12_48_catboost,3,0.6417035644936434,,,,,,0.0,5.0,500.0,5.0,0.01
v4l_12_48_catboost,4,0.6461373056885006,,,,,,0.0,7.0,500.0,15.0,0.01
v4l_12_48_catboost,5,0.6729651660444071,,,,,,0.0,7.0,500.0,5.0,0.01
