decil_calibrado,n,positivos,probabilidad_media_calibrada,probabilidad_media_sin_calibrar,frecuencia_observada
1,329,13,0.04197234105675326,0.06386349468610285,0.03951367781155015
2,333,7,0.053673035741113304,0.0795760900242711,0.021021021021021023
3,323,8,0.060938866884164083,0.08723772420887818,0.02476780185758514
4,328,25,0.06850195473365663,0.10483841972029606,0.07621951219512195
5,328,29,0.07693991340113257,0.1225794445178848,0.08841463414634146
6,328,22,0.08772460665222503,0.14403837359973806,0.06707317073170732
7,328,51,0.10235901896164469,0.1732945034030185,0.15548780487804878
8,328,48,0.12268684176506693,0.20715444036563593,0.14634146341463414
9,328,53,0.15882741740528486,0.256051096454548,0.16158536585365854
10,328,82,0.26484280364914514,0.36385120280517863,0.25
