decil_calibrado,n,positivos,probabilidad_media_calibrada,probabilidad_media_sin_calibrar,frecuencia_observada
1,329,11,0.038330244944243974,0.0679489556256159,0.03343465045592705
2,328,8,0.050171537358250876,0.09484656211122838,0.024390243902439025
3,328,9,0.058348491672395676,0.11272676730294484,0.027439024390243903
4,328,20,0.06661554292819323,0.13455485895268038,0.06097560975609756
5,328,28,0.07626616318457685,0.15866907722885173,0.08536585365853659
6,328,36,0.08783170313361369,0.18615910666761135,0.10975609756097561
7,328,41,0.10346847129807929,0.21807251198799904,0.125
8,328,49,0.12565200640973093,0.25578397738456904,0.14939024390243902
9,328,58,0.16370223305847864,0.3095765611001366,0.17682926829268292
10,328,78,0.26827157985860667,0.4035418407232977,0.23780487804878048
