iter	Passed	Remaining
0	1	507
1	1	490
2	2	493
3	4	502
4	5	496
5	5	491
6	6	489
7	7	487
8	8	484
9	9	480
10	10	477
11	11	475
12	12	472
13	13	470
14	14	469
15	15	469
16	16	468
17	17	468
18	18	469
19	19	468
20	20	467
21	21	467
22	22	466
23	23	465
24	24	463
25	25	462
26	26	461
27	27	459
28	28	458
29	29	457
30	30	456
31	31	455
32	32	454
33	33	454
34	35	465
35	36	464
36	36	462
37	37	460
38	38	459
39	39	458
40	40	456
41	41	455
42	42	454
43	43	454
44	44	454
45	45	453
46	46	452
47	47	451
48	49	457
49	51	460
50	52	458
51	53	457
52	54	456
53	55	454
54	56	453
55	57	452
56	58	451
57	59	450
58	60	449
59	61	448
60	62	447
61	63	445
62	64	449
63	66	451
64	67	449
65	68	447
66	68	445
67	69	444
68	70	442
69	71	441
70	72	440
71	73	439
72	74	437
73	75	436
74	76	435
75	77	434
76	78	433
77	79	432
78	80	431
79	81	430
80	82	428
81	83	427
82	84	426
83	85	425
84	86	423
85	87	422
86	88	421
87	89	420
88	90	418
89	91	417
90	92	416
91	93	415
92	95	417
93	96	415
94	97	414
95	98	412
96	99	411
97	100	410
98	101	409
99	101	407
100	102	405
101	103	404
102	104	403
103	105	402
104	106	401
105	107	399
106	108	398
107	109	398
108	110	397
109	111	396
110	112	395
111	113	394
112	114	392
113	115	391
114	116	390
115	117	389
116	118	388
117	119	387
118	120	385
119	121	384
120	122	383
121	123	382
122	124	381
123	126	383
124	128	384
125	129	384
126	130	383
127	131	381
128	132	380
129	133	379
130	134	378
131	135	377
132	136	376
133	137	374
134	138	373
135	139	372
136	140	372
137	141	371
138	142	370
139	143	369
140	144	367
141	145	366
142	146	365
143	147	364
144	148	363
145	149	361
146	150	360
147	151	359
148	152	358
149	153	357
150	154	356
151	155	355
152	157	356
153	158	355
154	159	353
155	159	352
156	160	351
157	161	350
158	162	349
159	163	348
160	164	347
161	165	346
162	166	345
163	167	343
164	168	342
165	169	341
166	171	341
167	172	341
168	173	340
169	174	339
170	175	337
171	176	336
172	177	335
173	178	334
174	179	333
175	180	332
176	181	331
177	182	330
178	183	329
179	184	328
180	185	326
181	187	327
182	188	326
183	189	325
184	190	324
185	191	323
186	192	322
187	193	320
188	194	319
189	195	318
190	196	317
191	197	316
192	198	315
193	199	314
194	200	313
195	201	312
196	203	312
197	204	311
198	205	310
199	206	309
200	206	307
201	207	306
202	208	305
203	209	304
204	210	303
205	211	302
206	212	301
207	213	300
208	214	299
209	215	297
210	217	298
211	218	297
212	219	296
213	220	294
214	221	293
215	222	292
216	223	291
217	224	290
218	225	289
219	226	288
220	227	287
221	228	286
222	229	285
223	230	283
224	232	283
225	233	282
226	234	281
227	235	280
228	236	279
229	237	278
230	238	277
231	239	276
232	240	275
233	241	274
234	242	273
235	243	272
236	244	271
237	245	269
238	246	268
239	248	269
240	249	268
241	250	266
242	251	265
243	252	264
244	253	263
245	254	262
246	255	261
247	256	260
248	257	259
249	258	258
250	259	257
251	260	256
252	261	254
253	262	253
254	263	252
255	264	251
256	265	250
257	266	249
258	267	248
259	268	247
260	269	246
261	270	245
262	271	244
263	272	243
264	272	242
265	273	240
266	274	239
267	275	238
268	277	238
269	279	237
270	280	236
271	280	235
272	281	234
273	282	233
274	283	232
275	284	231
276	285	230
277	286	229
278	287	227
279	288	226
280	289	225
281	290	224
282	291	223
283	294	223
284	295	222
285	296	221
286	297	220
287	298	219
288	299	218
289	300	217
290	300	216
291	301	215
292	302	213
293	303	212
294	304	211
295	305	210
296	306	209
297	308	209
298	309	208
299	310	207
300	311	206
301	312	204
302	313	203
303	314	202
304	315	201
305	316	200
306	317	199
307	318	198
308	319	197
309	320	196
310	321	195
311	322	194
312	324	193
313	325	192
314	326	191
315	327	190
316	328	189
317	329	188
318	330	187
319	331	186
320	332	185
321	333	184
322	334	183
323	335	182
324	336	181
325	337	180
326	338	179
327	339	178
328	340	176
329	341	175
330	342	174
331	343	173
332	344	172
333	345	171
334	346	170
335	347	169
336	348	168
337	349	167
338	350	166
339	351	165
340	352	164
341	353	163
342	354	162
343	355	161
344	356	160
345	357	158
346	358	157
347	359	156
348	360	155
349	361	154
350	362	153
351	363	152
352	363	151
353	365	150
354	365	149
355	366	148
356	367	147
357	368	146
358	369	145
359	370	144
360	371	143
361	372	142
362	373	141
363	374	140
364	375	138
365	376	137
366	377	136
367	378	135
368	379	134
369	380	133
370	381	132
371	382	131
372	383	130
373	385	130
374	387	129
375	388	128
376	389	127
377	390	126
378	391	124
379	392	123
380	393	122
381	394	121
382	395	120
383	396	119
384	397	118
385	398	117
386	400	116
387	401	115
388	402	114
389	403	113
390	404	112
391	405	111
392	406	110
393	407	109
394	408	108
395	409	107
396	410	106
397	411	105
398	412	104
399	413	103
400	414	102
401	415	101
402	416	100
403	417	99
404	418	98
405	419	97
406	420	96
407	421	95
408	422	94
409	423	92
410	424	91
411	425	90
412	426	89
413	427	88
414	428	87
415	429	86
416	430	85
417	431	84
418	432	83
419	433	82
420	434	81
421	435	80
422	436	79
423	437	78
424	438	77
425	439	76
426	440	75
427	441	74
428	442	73
429	443	72
430	444	71
431	445	70
432	446	69
433	447	68
434	448	67
435	449	66
436	450	65
437	451	63
438	453	62
439	454	61
440	455	60
441	456	59
442	457	58
443	458	57
444	459	56
445	460	55
446	461	54
447	462	53
448	463	52
449	464	51
450	465	50
451	466	49
452	467	48
453	468	47
454	469	46
455	470	45
456	471	44
457	472	43
458	473	42
459	474	41
460	475	40
461	477	39
462	478	38
463	479	37
464	479	36
465	480	35
466	481	34
467	482	33
468	483	31
469	484	30
470	485	29
471	486	28
472	487	27
473	488	26
474	489	25
475	491	24
476	492	23
477	493	22
478	494	21
479	495	20
480	496	19
481	497	18
482	498	17
483	499	16
484	500	15
485	501	14
486	502	13
487	503	12
488	504	11
489	505	10
490	506	9
491	507	8
492	508	7
493	509	6
494	510	5
495	511	4
496	512	3
497	513	2
498	514	1
499	515	0
