subgrupo,algoritmo,auc,std,tiempo_min
GLOBAL,CAT,0.6830263686718656,0.023276652711125508,5.108763957023621
GLOBAL,XGB,0.6728795630123836,0.017287194894684242,0.8499263366063435
GLOBAL,RF,0.6713689222002015,0.032452723905614746,2.7579787413279218
GLOBAL,NB,0.6666874098340825,0.03811267962875792,0.021624370416005453
GLOBAL,LR,0.6569249725254291,0.034795813151999276,0.06579217116038004
GLOBAL,LGBM,0.6483195093125576,0.014534166771330093,0.592017412185669
NO SÉPTICOS,LR,0.6872944931489713,0.020697449937578924,0.021480357646942137
NO SÉPTICOS,NB,0.6782116178348045,0.029303664460279846,0.020421171188354494
NO SÉPTICOS,CAT,0.6776966869757255,0.026760683936721763,4.991183348496755
NO SÉPTICOS,RF,0.6689788116261424,0.03358821789202593,2.970663833618164
NO SÉPTICOS,XGB,0.6655026104467447,0.026981041641913332,0.7779952645301819
NO SÉPTICOS,LGBM,0.610691981102829,0.04072190030442338,0.5010516961415609
SÉPTICOS,NB,0.6294928451178452,0.07558493736310491,0.013558030128479004
SÉPTICOS,LGBM,0.5937808641975308,0.05352341372406862,0.2278698762257894
SÉPTICOS,RF,0.5935582678638235,0.0747102272842565,2.1508081436157225
SÉPTICOS,CAT,0.5809916292555182,0.06027893293547151,4.650530032316843
SÉPTICOS,LR,0.5758945940890385,0.07262987630482218,0.012563796838124593
SÉPTICOS,XGB,0.5674705387205388,0.0589605990589806,0.4247655828793844
