variable,coef,OR,OR_IC_inf,OR_IC_sup,p_valor,p_valor_BH,sig_BH
rr_max,0.294,1.342,1.131,1.593,0.0007578587068770709,0.011367880603156064,True
ph_min,-0.215,0.807,0.674,0.965,0.018797338311304482,0.14098003733478362,False
sofa_max,0.216,1.241,1.005,1.534,0.04518954387174919,0.22594771935874594,False
glucemia_min,-0.144,0.866,0.729,1.029,0.10220273035353304,0.3578533411566909,False
spo2_min,-0.126,0.882,0.75,1.036,0.1266705510425283,0.3578533411566909,False
map_min,-0.115,0.892,0.761,1.044,0.15549684380636153,0.3578533411566909,False
diuresis_ml_kg_3h,-0.133,0.876,0.726,1.057,0.1669982258731224,0.3578533411566909,False
hr_media,0.119,1.127,0.941,1.349,0.19490963527131167,0.3654555661337094,False
pf_min,-0.121,0.886,0.722,1.088,0.2489388035720641,0.40559797153631244,False
lactato_max,0.092,1.096,0.931,1.291,0.27039864769087496,0.40559797153631244,False
creatinina_max,-0.087,0.917,0.767,1.097,0.34204604118612647,0.4664264197992634,False
bilirrubina_media,-0.058,0.944,0.782,1.14,0.5484055047095082,0.6748871199750488,False
tp_max,0.046,1.047,0.889,1.233,0.5849021706450424,0.6748871199750488,False
plaquetas_min,0.037,1.037,0.872,1.234,0.678179035854812,0.7266203955587272,False
temp_min,0.028,1.028,0.864,1.223,0.7540807968602439,0.7540807968602439,False
