variable,caida_AUC_pp,caida_AUC_desv,IC_inf,IC_sup,p_valor_empirico,IC_excluye_cero,p_emp_sig
rr_max,2.3929312021906477,0.015381770995353634,-0.002318257529044744,0.038433342139531444,0.144,False,False
map_min,2.309093618511803,0.011836734952928174,0.00590252270035533,0.03497392990641069,0.156,True,False
diuresis_ml_kg_3h,1.411909207506936,0.012469959207368793,-0.002618178241196097,0.028912388472167413,0.196,False,False
temp_min,1.3943669487278205,0.012091400917023454,-0.0032822460860172068,0.029200698406452893,0.212,False,False
spo2_min,1.282873933609718,0.01917341639453759,-0.018555873141202765,0.03236464405160061,0.232,False,False
lactato_max,0.9409224554718307,0.009896251970596188,-0.006005873921474907,0.021678380173869315,0.264,False,False
ph_min,0.9190382901112241,0.01067910660286597,-0.005778308647873816,0.02084655744176868,0.276,False,False
pf_min,0.8047811398223189,0.007967110980765833,-0.004585413563418709,0.015917710804103497,0.304,False,False
hr_media,0.7952086400585698,0.009883411415561387,-0.009161154367697598,0.015197426716506023,0.304,False,False
sofa_max,0.41573258847208044,0.005958040113128868,-0.004672576505181741,0.009461260223152822,0.356,False,False
tp_max,0.4152353115338757,0.006714974148299737,-0.002713369494955188,0.015461895808580501,0.356,False,False
bilirrubina_media,0.1335356619898763,0.008031042014738627,-0.006432290337068097,0.014952483628903127,0.516,False,False
creatinina_max,0.018951182690760515,0.00702527133430327,-0.008470028287852146,0.010993996796042882,0.516,False,False
glucemia_min,-0.08212763932086159,0.00839306851272127,-0.014696505411888406,0.007711835904930601,0.484,False,False
plaquetas_min,-0.1999575242725305,0.0075138747139691315,-0.012424685371443773,0.007868446642871238,0.576,False,False
