variable,shap_abs_mean,shap_mean,direccion
rr_max,0.052863959342523144,-0.029179093231682933,↓ riesgo
diuresis_ml_kg_3h,0.044487659807602886,-0.032278068952170585,↓ riesgo
pf_min,0.044480924792803314,-0.031665938792182054,↓ riesgo
temp_min,0.04205582111254986,-0.029386935057431552,↓ riesgo
map_min,0.04112956244755205,-0.02902463561641614,↓ riesgo
spo2_min,0.03928893570042332,-0.0222004621346109,↓ riesgo
hr_media,0.037053969033856916,-0.028130113411688765,↓ riesgo
ph_min,0.03604776456769562,-0.02537203357773242,↓ riesgo
lactato_max,0.030645403824676697,-0.02368453502327481,↓ riesgo
sofa_max,0.019718809312683456,-0.015610383117305357,↓ riesgo
