variable,test,mediana_pos,mediana_neg,p_valor,p_valor_BH,sig_BH
rr_max,Mann-Whitney U,26.5,23.0,2.8325756568018066e-07,4.24886348520271e-06,True
spo2_min,Mann-Whitney U,95.0,97.0,6.184651034800765e-07,4.638488276100574e-06,True
pf_min,Mann-Whitney U,113.0,152.5,3.9416660646228766e-05,0.00019708330323114383,True
ph_min,Mann-Whitney U,7.32,7.34,7.517152703231874e-05,0.00028189322637119525,True
map_min,Mann-Whitney U,66.5,71.0,0.00012328840285205357,0.00033661811627871567,True
hr_media,Mann-Whitney U,98.1667,89.25,0.00013464724651148627,0.00033661811627871567,True
sofa_max,Mann-Whitney U,4.0,3.0,0.0004195977894764556,0.0008991381203066906,True
lactato_max,Mann-Whitney U,2.4,1.9,0.0009581238865586106,0.0017964822872973947,True
diuresis_ml_kg_3h,Mann-Whitney U,2.2423,2.9457,0.0024113347545378374,0.004018891257563062,True
creatinina_max,Mann-Whitney U,1.15,1.0,0.04530749125176106,0.06796123687764159,False
tp_max,Mann-Whitney U,14.85,14.4,0.09051019569807293,0.12342299413373582,False
glucemia_min,Mann-Whitney U,139.5,147.0,0.3030295037876064,0.378786879734508,False
temp_min,Mann-Whitney U,36.7778,36.7778,0.42946809332729186,0.49554010768533674,False
bilirrubina_media,Mann-Whitney U,0.7,0.7,0.7394433340084148,0.7922607150090158,False
plaquetas_min,Mann-Whitney U,178.5,183.0,0.8032103343290522,0.8032103343290522,False
